date,tr_mean,tr_min,tr_max,tr_std,pr_mean,pr_min,pr_max,pr_std,lf_mean,lf_min,lf_max,lf_std,pos_mean,pos_min,pos_max,pos_std
2021-01-19 17:05:13.086852,88.28,87.53,89.29,0.38,60.37,58.91,61.74,0.51,90.98,90.27,91.64,0.31,68.7,67.81,69.96,0.47
2021-01-20 17:00:02.233080,74.36,73.13,75.06,0.39,48.18,47.09,49.43,0.46,80.52,79.68,81.41,0.37,67.03,65.69,68.13,0.49
2021-01-21 17:00:02.957233,71.17,70.03,72.64,0.48,42.35,41.16,43.63,0.49,78.32,77.08,79.34,0.43,61.44,60.09,62.49,0.49
2021-01-22 17:00:02.537633,78.05,77.14,79.11,0.38,43.51,42.67,44.46,0.44,83.47,82.34,84.33,0.38,56.72,55.42,58.1,0.47
2021-01-23 17:00:02.382253,81.03,80.37,81.8,0.35,65.99,65.05,67.25,0.49,85.51,84.85,86.36,0.37,82.38,81.54,83.23,0.36
2021-01-24 17:00:02.578714,89.72,88.92,90.58,0.31,60.58,58.6,62.15,0.67,91.95,91.18,92.59,0.28,67.17,64.86,68.57,0.64
2021-01-25 17:00:02.430069,88.87,88.23,89.64,0.34,48.68,47.63,50.21,0.52,91.45,90.83,92.06,0.31,54.49,53.35,55.79,0.51
2021-01-26 17:00:02.231054,83.11,81.98,84.02,0.39,55.7,54.65,57.32,0.47,87.16,85.99,88.09,0.34,67.98,66.76,69.15,0.48
2021-01-27 17:00:02.292103,84.28,83.34,85.23,0.43,72.36,71.09,73.5,0.52,88.36,87.27,89.15,0.38,87.1,86.12,88.03,0.36
2021-01-28 17:00:02.964221,77.65,76.71,78.43,0.39,68.66,67.65,69.79,0.47,83.59,82.72,84.37,0.36,90.91,90.24,91.8,0.28
2021-01-29 17:00:02.974443,60.22,59.18,61.45,0.48,27.21,26.2,28.15,0.44,70.8,69.83,72.05,0.46,50.93,49.61,52.31,0.52
2021-01-30 17:00:02.765151,71.72,70.18,73.11,0.57,31.97,30.74,33.42,0.51,79.78,78.8,80.8,0.46,50.48,49.3,51.93,0.52
2021-01-31 17:00:02.652223,78.45,77.28,79.63,0.41,33.12,32.03,34.06,0.45,81.68,80.61,82.85,0.41,46.34,45.12,47.86,0.5
2021-02-01 17:00:03.038162,69.72,68.58,70.86,0.42,26.05,25.05,27.0,0.41,77.93,76.93,78.96,0.41,45.38,44.25,46.68,0.52
2021-02-02 17:00:02.974463,65.82,64.63,67.57,0.51,26.53,25.45,27.53,0.4,53.0,51.74,54.47,0.55,46.29,44.86,47.46,0.55
2021-02-03 17:00:02.684994,77.59,76.09,78.91,0.51,37.97,36.63,39.05,0.55,60.82,59.54,62.24,0.52,53.28,51.81,54.75,0.54
2021-02-04 17:00:03.366439,17.81,16.71,18.85,0.39,0.64,0.4,0.82,0.09,18.7,17.78,20.12,0.46,62.94,61.59,64.23,0.56
2021-02-08 17:00:02.891044,78.77,77.39,80.32,0.51,72.78,71.22,74.39,0.62,72.16,69.89,73.91,0.49,93.8,92.85,94.65,0.37
2021-02-09 17:00:02.584098,78.65,77.34,79.91,0.42,67.95,66.98,69.58,0.53,71.96,71.01,72.63,0.34,87.32,86.39,88.53,0.47
2021-02-10 17:10:03.080050,79.9,78.99,80.87,0.41,67.06,66.07,68.13,0.45,72.7,71.78,73.7,0.35,85.13,84.49,85.93,0.31
2021-02-11 17:19:43.269807,93.58,92.97,94.25,0.24,69.42,68.19,70.41,0.47,81.8,81.32,82.61,0.25,74.84,73.82,75.83,0.43
2021-02-12 07:42:02.335467,88.55,87.51,89.43,0.43,78.34,76.49,80.12,0.84,76.73,75.7,77.53,0.35,91.82,90.62,93.14,0.63
2021-02-14 07:00:02.486397,71.84,70.53,72.93,0.49,62.6,60.97,63.71,0.51,66.94,65.67,67.93,0.47,89.78,88.85,90.49,0.31
2021-02-15 07:00:02.866611,81.24,79.63,83.7,0.86,80.38,78.42,82.77,0.89,73.01,71.64,74.6,0.61,100.0,100.0,100.0,0.0
2021-02-15 08:57:34.140523,78.07,77.04,79.04,0.45,75.71,74.16,77.03,0.68,70.85,69.84,71.85,0.41,98.22,96.88,99.36,0.68
2021-02-15 18:00:03.167486,59.12,57.19,61.25,0.96,51.03,48.84,53.11,0.95,57.86,56.27,59.47,0.72,89.4,88.73,90.11,0.31
2021-02-16 07:00:03.197034,24.42,23.44,25.4,0.42,7.8,7.06,8.47,0.26,27.84,26.73,29.53,0.53,64.44,62.47,65.6,0.59
2021-02-17 07:00:02.652061,75.83,74.67,76.82,0.43,49.13,47.77,50.3,0.52,63.3,62.28,64.31,0.41,70.12,69.07,71.32,0.47
2021-02-17 19:07:43.983375,59.29,57.05,61.42,0.99,31.4,29.77,33.07,0.8,51.41,49.74,53.31,0.82,58.78,57.33,60.63,0.6
2021-02-18 07:00:02.760364,58.77,57.42,60.36,0.56,45.74,44.0,47.71,0.72,58.54,57.33,59.63,0.54,82.66,81.47,83.84,0.55
2021-02-18 19:04:02.341492,54.58,53.37,55.99,0.51,40.02,38.93,41.07,0.48,55.35,54.0,56.36,0.48,78.92,77.9,79.83,0.39
2021-02-19 08:07:29.948517,24.29,23.4,25.62,0.41,5.93,4.95,6.95,0.5,27.91,26.82,29.01,0.48,61.07,59.84,62.51,0.69
2021-02-19 19:04:02.229285,23.0,21.84,24.01,0.4,3.98,3.59,4.47,0.18,26.72,25.59,27.88,0.48,53.86,52.88,54.67,0.42
2021-02-20 07:00:02.103450,40.9,39.75,42.15,0.5,16.71,15.33,17.57,0.41,38.7,37.29,39.94,0.5,54.35,53.29,55.74,0.51
2021-02-21 07:00:03.222632,40.89,39.69,42.19,0.57,23.9,22.77,24.94,0.46,47.39,46.1,48.48,0.5,70.02,69.02,71.24,0.45
2021-02-21 19:04:02.958229,35.61,33.46,37.63,1.1,19.55,17.69,21.21,0.84,43.1,40.84,45.43,1.03,69.83,68.85,71.0,0.44
2021-02-22 07:00:02.910733,24.57,23.22,25.6,0.46,7.94,7.43,8.59,0.26,29.18,28.15,30.65,0.46,66.13,64.98,67.2,0.49
2021-02-22 19:04:02.454806,23.0,21.9,24.2,0.44,6.77,6.18,7.37,0.25,28.03,27.03,29.41,0.53,66.06,64.98,67.51,0.47
2021-02-23 07:00:02.636535,60.98,59.7,62.04,0.51,39.38,38.04,40.62,0.51,60.94,59.99,62.19,0.47,68.5,67.25,69.69,0.48
2021-02-23 19:04:02.820583,51.98,50.81,53.53,0.6,30.93,29.78,32.16,0.53,54.92,53.74,56.03,0.49,66.24,65.11,67.62,0.47
2021-02-24 07:00:02.727239,52.09,50.94,53.56,0.57,33.52,32.35,34.82,0.5,55.31,53.91,56.39,0.47,71.28,69.81,72.37,0.54
2021-02-24 19:04:02.596401,49.45,48.4,51.31,0.49,31.29,30.05,32.65,0.51,53.41,52.29,54.5,0.49,71.2,69.79,72.1,0.48
2021-02-25 07:00:04.364332,55.8,54.46,56.88,0.5,41.02,39.56,42.19,0.47,57.48,56.17,58.52,0.46,79.57,78.58,80.44,0.39
2021-02-25 19:04:01.854960,51.88,49.98,53.82,0.77,37.44,35.83,39.12,0.72,54.77,52.77,55.93,0.6,79.48,78.15,80.56,0.42
2021-02-26 07:00:03.879554,54.96,52.7,56.13,0.57,48.09,45.94,49.52,0.57,57.24,56.13,58.34,0.46,92.46,91.69,93.02,0.27
2021-02-26 19:04:02.044575,47.09,45.34,48.36,0.52,39.01,37.4,40.03,0.47,51.94,50.38,52.95,0.5,90.41,89.6,91.21,0.29
2021-02-27 07:00:02.426332,51.8,50.84,52.81,0.44,45.35,44.28,46.4,0.45,55.21,54.24,56.4,0.49,94.23,93.78,94.76,0.22
